GO:0034605	cellular response to heat
GO:0033210	leptin-mediated signaling pathway
GO:0070301	cellular response to hydrogen peroxide
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling
GO:0014065	phosphatidylinositol 3-kinase signaling
GO:1902236	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:1900034	regulation of cellular response to heat
GO:0042493	response to drug
GO:0070374	positive regulation of ERK1 and ERK2 cascade
GO:0070373	negative regulation of ERK1 and ERK2 cascade
GO:0033138	positive regulation of peptidyl-serine phosphorylation
GO:0016236	macroautophagy
GO:0001525	angiogenesis
GO:0031532	actin cytoskeleton reorganization
GO:0045931	positive regulation of mitotic cell cycle
GO:0045930	negative regulation of mitotic cell cycle
GO:0046627	negative regulation of insulin receptor signaling pathway
GO:0045471	response to ethanol
GO:0008340	determination of adult lifespan
GO:0007265	Ras protein signal transduction
GO:0007264	small GTPase mediated signal transduction
GO:0043623	cellular protein complex assembly
GO:0006996	organelle organization
GO:0007507	heart development
GO:0005978	glycogen biosynthetic process
GO:0044237	cellular metabolic process
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0019221	cytokine-mediated signaling pathway
GO:0007219	Notch signaling pathway
GO:0071539	protein localization to centrosome
GO:0001822	kidney development
GO:0048511	rhythmic process
GO:0019058	viral life cycle
GO:0022904	respiratory electron transport chain
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0042127	regulation of cell proliferation
GO:0006605	protein targeting
GO:0043534	blood vessel endothelial cell migration
GO:0007173	epidermal growth factor receptor signaling pathway
GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity
GO:0007179	transforming growth factor beta receptor signaling pathway
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
GO:0016197	endosomal transport
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
GO:0060396	growth hormone receptor signaling pathway
GO:0016055	Wnt signaling pathway
GO:0043524	negative regulation of neuron apoptotic process
GO:0006921	cellular component disassembly involved in execution phase of apoptosis
GO:0071260	cellular response to mechanical stimulus
GO:0006928	movement of cell or subcellular component
GO:2000811	negative regulation of anoikis
GO:0034983	peptidyl-lysine deacetylation
GO:0070911	global genome nucleotide-excision repair
GO:0042158	lipoprotein biosynthetic process
GO:0042981	regulation of apoptotic process
GO:0016477	cell migration
GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress
GO:0034097	response to cytokine
GO:0006954	inflammatory response
GO:0048011	neurotrophin TRK receptor signaling pathway
GO:0048010	vascular endothelial growth factor receptor signaling pathway
GO:0048013	ephrin receptor signaling pathway
GO:0048015	phosphatidylinositol-mediated signaling
GO:1900181	negative regulation of protein localization to nucleus
GO:0002755	MyD88-dependent toll-like receptor signaling pathway
GO:0002756	MyD88-independent toll-like receptor signaling pathway
GO:0046902	regulation of mitochondrial membrane permeability
GO:0012501	programmed cell death
GO:0036297	interstrand cross-link repair
GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0006351	transcription, DNA-templated
GO:0019068	virion assembly
GO:0030154	cell differentiation
GO:0045429	positive regulation of nitric oxide biosynthetic process
GO:0046677	response to antibiotic
GO:0030324	lung development
GO:0008543	fibroblast growth factor receptor signaling pathway
GO:0046777	protein autophosphorylation
GO:0007254	JNK cascade
GO:0001701	in utero embryonic development
GO:0042276	error-prone translesion synthesis
GO:0036120	cellular response to platelet-derived growth factor stimulus
GO:0070266	necroptotic process
GO:2000352	negative regulation of endothelial cell apoptotic process
GO:0035666	TRIF-dependent toll-like receptor signaling pathway
GO:0071364	cellular response to epidermal growth factor stimulus
GO:0071363	cellular response to growth factor stimulus
GO:0000423	macromitophagy
GO:0071407	cellular response to organic cyclic compound
GO:2001275	positive regulation of glucose import in response to insulin stimulus
GO:0006006	glucose metabolic process
GO:0071222	cellular response to lipopolysaccharide
GO:0034138	toll-like receptor 3 signaling pathway
GO:0034134	toll-like receptor 2 signaling pathway
GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway
GO:0051439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition
GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0021987	cerebral cortex development
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
GO:0032981	mitochondrial respiratory chain complex I assembly
GO:0010332	response to gamma radiation
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
GO:0071312	cellular response to alkaloid
GO:0006357	regulation of transcription from RNA polymerase II promoter
GO:0050852	T cell receptor signaling pathway
GO:0007584	response to nutrient
GO:0006915	apoptotic process
GO:0006310	DNA recombination
GO:0051726	regulation of cell cycle
GO:0007094	mitotic spindle assembly checkpoint
GO:0045907	positive regulation of vasoconstriction
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway
GO:0061024	membrane organization
GO:0051897	positive regulation of protein kinase B signaling
GO:0006983	ER overload response
GO:0009617	response to bacterium
GO:0014823	response to activity
GO:0051592	response to calcium ion
GO:0010873	positive regulation of cholesterol esterification
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway
GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway
GO:0030198	extracellular matrix organization
GO:0038061	NIK/NF-kappaB signaling
GO:0032496	response to lipopolysaccharide
GO:0007346	regulation of mitotic cell cycle
GO:0071456	cellular response to hypoxia
GO:0042384	cilium assembly
GO:0042060	wound healing
GO:0034146	toll-like receptor 5 signaling pathway
GO:0043392	negative regulation of DNA binding
GO:0034142	toll-like receptor 4 signaling pathway
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
GO:0038095	Fc-epsilon receptor signaling pathway
GO:0031648	protein destabilization
GO:0000122	negative regulation of transcription from RNA polymerase II promoter
GO:0030308	negative regulation of cell growth
GO:0016310	phosphorylation
GO:0034644	cellular response to UV
GO:0007411	axon guidance
GO:0001666	response to hypoxia
GO:0000723	telomere maintenance
GO:0010165	response to X-ray
GO:0000724	double-strand break repair via homologous recombination
GO:0000045	autophagosome assembly
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0010939	regulation of necrotic cell death
GO:0031145	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0045597	positive regulation of cell differentiation
GO:0045892	negative regulation of transcription, DNA-templated
GO:0045893	positive regulation of transcription, DNA-templated
GO:0001895	retina homeostasis
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity
GO:0007568	aging
GO:0007569	cell aging
GO:0007249	I-kappaB kinase/NF-kappaB signaling
GO:0010718	positive regulation of epithelial to mesenchymal transition
GO:0045944	positive regulation of transcription from RNA polymerase II promoter
GO:0045862	positive regulation of proteolysis
GO:0045861	negative regulation of proteolysis
GO:0034975	protein folding in endoplasmic reticulum
GO:0034976	response to endoplasmic reticulum stress
GO:0000187	activation of MAPK activity
GO:0000186	activation of MAPKK activity
GO:0032869	cellular response to insulin stimulus
GO:0032868	response to insulin
GO:0007067	mitotic nuclear division
GO:0035456	response to interferon-beta
GO:0010467	gene expression
GO:0048538	thymus development
GO:0036498	IRE1-mediated unfolded protein response
GO:0051402	neuron apoptotic process
GO:0051403	stress-activated MAPK cascade
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
GO:0070527	platelet aggregation
GO:0016032	viral process
GO:0001933	negative regulation of protein phosphorylation
GO:0001932	regulation of protein phosphorylation
GO:0001934	positive regulation of protein phosphorylation
